Alabama,128,6679.117196307734,2902.6364034737476
UAB,74,3866.0609122873516,3723.3318215760746
Appalachian State,113,4785.814835630691,3367.304724399005
Arizona,64,4218.222384683111,4224.324196974617
Arizona State,74,4332.050198493145,4182.685363322389
Arkansas,8,2646.311490647947,4412.243534520169
Arkansas State,97,5117.1474637259635,4178.064508641605
Army,80,4521.860358373742,4134.685710278423
Auburn,73,3569.1908833935813,3463.330339285547
Ball State,25,3200.8628429847627,4500.690934404726
Baylor,47,3668.24329019464,4113.1619845570995
Boise State,99,4745.834679212029,3805.3085223532457
Boston College,92,4163.336164521844,3564.2232852342277
Bowling Green,17,3224.788612329528,4779.870464819617
Buffalo,88,4743.391754062344,4159.383294302428
BYU,68,3556.0802987968314,3494.474901489328
California,39,2948.2444552061384,3509.346591621252
UCLA,38,3381.866055638359,4079.892744356326
UCF,127,6362.545491460967,3393.142551617795
Central Michigan,4,2238.6287321086743,4125.3322550793355
Charlotte,9,2853.7848620080476,4504.033479738661
Cincinnati,109,4814.067380657712,3486.4473732921615
Clemson,129,6383.148167654878,2584.8409801697308
Coastal Carolina,21,3377.7623278136575,4950.42451681956
Colorado,46,3616.605091875968,4045.018665571807
Colorado State,12,3252.200716365829,5097.586356409025
Connecticut,1,2700.397873292538,6287.281649727866
Duke,49,3501.6873516028645,3933.8789327188615
Eastern Michigan,43,3758.328885199763,4343.708645270845
East Carolina,25,3055.178302819789,4274.8890023346985
Florida International,76,4646.987299076322,4419.600024965405
Florida,82,4278.071075661933,3906.7594290801458
Florida Atlantic,78,4306.343858426626,3996.886099835626
Florida State,35,2933.709791969841,3587.208822049074
Fresno State,104,4408.907408336872,3407.665766042891
Georgia,124,5561.6071297275375,3308.178094296359
Georgia Southern,81,4136.728930307359,3810.920948884338
Georgia State,14,3376.830344620941,5184.770027514279
Georgia Tech,93,4987.196624452211,4117.850738778602
Hawai'i,50,4397.508996525953,4841.770463261742
Houston,119,6288.423429225006,4225.971341109415
Illinois,20,3582.5675297834027,5282.417725197965
Indiana,41,3720.529550584678,4323.76742677194
Iowa,112,4399.2078587190035,3174.532719499878
Iowa State,82,3849.496153009143,3573.539146226487
Kansas,31,3726.094842489349,4833.746979711301
Kansas State,29,3138.2026470365345,4144.490624280876
Kent State,15,3006.7705000838673,4570.162565048377
Kentucky,65,3663.0216668849275,3686.6938379441794
Liberty,53,4287.026596780017,4638.889954187696
LSU,114,4528.6536573600915,3173.442147904325
Louisiana Tech,28,3049.0902582212952,4022.497489908666
Louisiana,57,4388.053857761528,4562.093679405195
Louisiana Monroe,45,3680.568825724687,4169.1417980325805
Louisville,8,2659.0702481907256,4484.161159440007
Marshall,89,3841.173040067851,3396.5740913107225
Maryland,68,4016.5011625570705,3965.09550707479
UMass,37,4267.121758002242,5115.978076535993
Memphis,115,5883.880253768374,4081.3426576889588
Miami,83,3802.068801508315,3521.582629004892
Miami (OH),102,4653.479659243267,3682.834551844212
Michigan,122,5199.109037433702,3171.5689378818984
Michigan State,58,2788.759991145203,2910.039928873078
Middle Tennessee,60,3735.8311740428817,3827.50720926966
Minnesota,57,4015.063560334005,4186.225986110378
Ole Miss,55,4272.1014864724375,4501.403446686276
Mississippi State,106,3703.399238797593,2789.826947804108
Missouri,116,5068.4459681887265,3548.276582651004
Navy,29,3216.20522871533,4282.807182523402
Nebraska,67,4069.1606507039314,4006.3463742118083
Nevada,88,4085.1489393259535,3623.1522627236686
UNLV,31,3854.8540877736186,4985.060333750332
New Mexico,22,3315.677962649056,4731.409796153147
New Mexico State,21,3238.3982875003785,4681.630154024032
North Carolina,11,3606.0637648988113,5610.81712857931
NC State,114,5207.307974330862,3710.714463228682
North Texas,101,4896.408399801595,3876.331529055298
Northern Illinois,43,3080.8889636143626,3474.8275415294747
Northwestern,38,3315.529546529019,3965.1805875946493
Notre Dame,120,4764.829315886871,3074.9820463282845
Ohio,110,5888.58125093491,4229.721994483397
Ohio State,111,6076.764734946591,4440.452498943124
Oklahoma,125,6922.790354924392,3934.7767457758523
Oklahoma State,106,5206.369223317295,3994.920145536523
Old Dominion,26,3696.817433592762,5053.4530010739245
Oregon,109,4964.162169765529,3623.5386056289976
Oregon State,12,3414.8966427613927,5471.608405347601
Penn State,121,4882.857484463148,3046.644349843656
Pittsburgh,61,3677.3522909665635,3691.402258725653
Purdue,84,4496.900467740033,4088.758704160033
Rice,5,2522.098948816919,4606.594167618652
Rutgers,2,1902.6044818002506,3934.0506585134394
San Diego State,54,3104.9720760804666,3284.780199135635
San José State,10,2800.7350757661807,4478.6072929161555
South Alabama,26,3326.214642416166,4610.153355218858
South Carolina,93,4419.88767818267,3798.1269040982424
South Florida,86,4321.876780382324,3818.796127682909
USC,53,3734.1318818429863,3977.609585771412
